Sl. No.,State/UT,2019-20 - MS,2019-20 - HSD,2020-21 - MS,2020-21 - HSD,2021-22 - MS,2021-22 - HSD,2022-23 - MS,2022-23 - HSD,2023-24 - MS,2023-24 - HSD
1,Andaman and Nicobar Islands,18.9,157.2,13.8,132.4,15.7,141.9,19.4,162.8,20.2,160.8
2,Andhra Pradesh,1278.4,3833.6,1321.9,3405.4,1419.4,3432.2,1504.1,3460.4,1571.4,3639.5
3,Arunachal Pradesh,51.8,161.5,50.6,174.9,55.4,192.5,66.7,227,78,244.5
4,Assam,445.1,1023.8,431.9,904,510,1123,611.2,1327.5,668.1,1312.2
5,Bihar,852.1,2366.7,848.9,2136.6,926.7,2055.1,1034.3,2398.4,1081.7,2366.9
6,Chandigarh,126.8,197.7,91.4,126.6,110,171,114.4,210.6,119.8,244.6
7,Chhattisgarh,613.1,1648.2,604.3,1607.7,660.9,1656.9,743.4,1930.3,798.1,2125.6
8,Dadra and Nagar Haveli and Daman and Diu,38.9,234,30,161.7,38.6,175.3,44.2,212.7,46.3,182.6
9,Delhi,876,835.3,668.8,499.2,693.3,597.5,899.5,662,960.3,614.2
10,Goa,186.1,305.5,145.1,233.4,167,276.4,204.7,294,216.6,274
11,Gujarat,2066.8,5607.6,1860.2,5089.8,2134,5780.1,2397.8,6927.3,2546.1,7178.7
12,Haryana,1029.4,4716.8,1011.6,4434.9,1113.7,4450.1,1203.3,4205.9,1289.9,4274.5
13,Himachal Pradesh,238,667.6,233.1,609.8,272.3,776.6,306.4,1002.8,320.8,795.2
14,Jammu and Kashmir,300.4,675.5,273.1,576,316.3,698.5,354.7,821.7,380.2,916.2
15,Jharkhand,526.5,1968.4,512.5,1741.5,574.1,1660.6,660.3,1754.8,693,1888.5
16,Karnataka,2270.5,6601.8,2123.9,5574.5,2235,6203.6,2648.1,8042,2899.4,8350.6
17,Kerala,1558.8,2557.3,1371.1,1922.7,1495.8,2101.1,1747.6,2485.6,1791.5,2413.3
18,Ladakh,3.6,5,12.5,56.1,16.8,67.7,20.3,80.3,21.7,97.3
19,Lakshadweep,0,15.3,0,16,0,16.1,0.7,16.3,1.3,19.1
20,Madhya Pradesh,1463.7,3654.9,1461.1,3368.9,1542.7,3375,1705.3,3884.5,1825.1,4163.7
21,Maharashtra,3462,9528.9,3014.4,8031.2,3387.6,8322.1,3815.2,9291,4068,9926.7
22,Manipur,68.2,118.4,62.1,109,67.5,119.4,88.4,149.5,75.5,103.6
23,Meghalaya,99.8,355.9,81.3,281.1,95.5,331.1,124.6,397.4,135.5,438.4
24,Mizoram,31.2,74.9,26,68.9,26,82.7,35.4,100.7,42.7,111.2
25,Nagaland,39.2,90.4,31.9,88.9,40.9,101.1,51.2,109.9,58.5,121.9
26,Odisha,834.5,2661.7,782.4,2534.5,863.9,2593.6,992.5,2929.1,1058.6,3286.8
27,Puducherry,133.8,290.3,108.4,210.9,128.5,300.2,168.3,553,181.1,572.7
28,Punjab,960.2,3213.7,888.4,2741.7,1015.8,3113,1133.5,3264.8,1182.9,3467
29,Rajasthan,1657,5271.9,1549.4,4336.8,1621.5,4452.4,1790.4,5073.8,1896.4,5495
30,Sikkim,21.1,78,15.8,60.4,19.4,73.6,26.5,90.8,28.9,89.9
31,Tamil Nadu,2735.4,6191.3,2580.6,5006.9,2758.1,5371.1,3152.9,5999.3,3352,6287.2
32,Telangana,1288.3,3621.8,1199.5,3253.3,1357.3,3555.8,1541.4,3528.8,1675.1,3668.3
33,Tripura,57.7,86.8,53.7,88.7,57.5,94.7,64.3,101.3,68.1,108.9
34,Uttar Pradesh,3319.9,9484.9,3210.1,9384.8,3696.1,9496.3,4103.4,9858.6,4368.6,10307.6
35,Uttarakhand,326.3,744,293,657.2,338.4,699.7,410.2,779.7,438.7,815.3
36,West Bengal,996.1,3438.7,997.5,3007.9,1076.9,2962.3,1191.1,3496.9,1259.1,3522.3
